Date,open_interest_divergence.20,momentum.20,carry.20,retail_flow.20,foundational.20
07/10/2021,0.003135731,0.005071093,-0.01647931,-0.013549334,-0.43%
08/10/2021,-0.041452931,-0.028294633,-0.012640375,-0.015781826,-3.54%
09/10/2021,0.016390629,0.017452087,0.012107178,0.01710603,2.98%
10/10/2021,0.004302782,0.010415529,0.021149134,0.004278728,1.17%
11/10/2021,-0.011803426,0.016999361,0.035705636,0.019414994,2.64%
12/10/2021,0.007298147,-0.012897904,0.014200046,-0.009550203,0.17%
13/10/2021,0.043838752,0.044452328,-0.00163443,0.023350316,3.15%
14/10/2021,-0.000758954,0.0136243,0.021575773,-0.006001711,1.82%
15/10/2021,-0.01669215,0.023856508,0.035259278,0.009651239,3.16%
16/10/2021,0.022101986,-0.008436903,-0.021450781,-0.015572263,-1.08%
17/10/2021,8.25E-05,0.013549071,0.016528657,0.01068618,1.87%
18/10/2021,0.006650404,0.009085788,0.010812967,-0.00754815,1.07%
19/10/2021,-0.020542656,-0.00046422,0.014546392,-0.003397844,0.82%
20/10/2021,-0.030005534,0.015669521,-0.00932274,-0.001856469,1.25%
21/10/2021,-0.007238846,-0.012642633,-0.007471717,-0.045704393,-2.96%
22/10/2021,0.001557808,-0.018721663,-0.006716851,-0.025460966,-2.16%
23/10/2021,-0.004080494,0.008287621,0.007037589,0.007212152,0.80%
24/10/2021,-0.002915789,-0.001482404,0.007665116,-0.018452066,-0.39%
25/10/2021,0.008314804,-0.000393892,-0.028704661,0.040940179,-0.52%
26/10/2021,-0.03117202,-0.038593695,-0.036706028,-0.010522981,-4.48%
27/10/2021,0.004954707,0.003556541,0.029089615,-0.007571287,1.47%
28/10/2021,0.002108537,0.029496425,0.009678283,-0.055658546,2.94%
29/10/2021,0.007935796,0.007601582,-0.004019802,0.025096358,0.21%
30/10/2021,-0.001824177,-0.009669242,0.012874911,0.00081438,-0.13%
31/10/2021,0.000860313,-0.018796774,-0.015671636,-0.012225386,-2.31%
01/11/2021,0.003364688,0.020539365,-0.001906112,0.024062303,1.95%
02/11/2021,-0.002063786,0.017391579,0.009503782,-0.00203627,1.69%
03/11/2021,-0.01077257,-0.007142525,0.00182026,-0.005647345,0.08%
04/11/2021,0.003216259,0.032226414,-0.015771194,-0.013586074,1.24%
05/11/2021,0.009879693,-0.006822124,-0.0026326,-0.018536845,-0.66%
06/11/2021,0.014408905,0.034645933,0.008891933,0.030941401,3.20%
07/11/2021,-0.005146086,-0.007820284,-0.002359368,0.018636131,-0.35%
08/11/2021,0.001163659,-0.025316146,-0.044864159,-0.042509107,-5.08%
09/11/2021,0.007600025,-0.063114537,0.009305752,-0.026898227,-5.51%
10/11/2021,-0.020375995,0.026851585,0.024462262,0.024784826,3.95%
11/11/2021,-0.005227681,0.002360893,0.000689917,-0.003689655,0.33%
12/11/2021,-0.006132918,-0.005585982,-0.003413453,-0.001312064,-0.44%
13/11/2021,-0.001334891,0.029347122,0.007728013,0.027093177,3.06%
14/11/2021,-0.019035598,0.006485327,0.004256855,0.015067367,0.80%
15/11/2021,0.009485788,-0.007743955,-0.001235968,-0.005928442,-1.14%
16/11/2021,-0.004948676,0.00220588,0.019762039,0.009206775,1.52%
17/11/2021,-0.006290481,0.000543196,0.013440264,0.004163574,1.09%
18/11/2021,0.001657982,-0.040759008,0.009523211,0.046683333,-3.78%
19/11/2021,0.009612015,0.019475294,0.018456577,0.014161188,1.46%
20/11/2021,0.011956508,0.008800336,0.00234159,-0.001615672,1.17%
21/11/2021,-0.028149142,-0.002206386,0.010477052,-0.001573015,1.04%
22/11/2021,-0.008170446,-0.004295515,-0.004032756,0.026458477,-0.77%
23/11/2021,0.005554703,0.005368133,0.025476309,-0.019059079,2.45%
24/11/2021,-0.002392661,0.00368817,0.010351371,-0.002910137,0.94%
25/11/2021,-0.034559741,0.036261617,0.014277989,0.015438967,3.30%
26/11/2021,0.028304591,-0.014048229,0.010828138,0.017391662,-0.08%
27/11/2021,0.002727384,0.003691194,-0.012733171,0.017243995,-0.08%
28/11/2021,0.000157688,0.004990853,0.016104135,-0.028609154,1.11%
29/11/2021,0.009526087,0.001892933,-0.003130804,0.004590861,-0.04%
30/11/2021,-0.001618085,0.018160396,0.029325138,-0.004444884,3.29%
01/12/2021,-0.003490414,0.02720606,-0.027340732,0.003310342,1.22%
02/12/2021,0.038932803,-0.025488781,-0.006519939,0.00472207,-2.33%
03/12/2021,-0.011488886,0.001264059,0.013366702,0.000712856,0.78%
04/12/2021,0.0184301,0.069271666,0.016396038,0.036959257,6.09%
05/12/2021,0.014862689,0.022131427,0.005163541,0.014031828,1.26%
06/12/2021,0.019545192,0.013858556,0.000664984,-0.007605251,1.93%
07/12/2021,-0.043099126,-0.023737752,0.031014928,-0.035258337,0.06%
08/12/2021,0.006728665,0.002138211,0.018636406,0.003955974,0.75%
09/12/2021,0.005791963,0.004843922,-0.024764142,0.029434423,-0.16%
10/12/2021,-0.007192827,0.002292066,0.003437243,-0.010901602,1.35%
11/12/2021,-0.002228163,-0.029888077,-0.005180146,-0.005119379,-3.46%
12/12/2021,-0.009159541,-0.006447249,-0.006030248,-0.019711984,-1.18%
13/12/2021,0.013487363,0.00844773,0.006062967,0.006912649,0.79%
14/12/2021,0.000305418,-0.026850063,-0.010013148,-0.030122462,-3.04%
15/12/2021,-0.033919558,0.001493917,-0.028891619,-0.016241,-1.63%
16/12/2021,0.000587174,0.02160093,0.000722288,-0.008346537,2.51%
17/12/2021,0.021085936,0.018316982,-0.026942544,0.023451083,-0.06%
18/12/2021,-0.015114633,-0.010621072,-0.009441582,0.000329258,-1.08%
19/12/2021,-0.012051885,-0.011229279,0.018971161,-0.01248955,0.33%
20/12/2021,-0.005864444,0.006957348,0.018122941,0.002196902,1.79%
21/12/2021,-0.000574871,0.004445912,-0.001905384,0.003004394,0.58%
22/12/2021,-0.00893535,-0.040859454,-0.016082088,-0.031893416,-3.92%
23/12/2021,0.004972371,-0.017700612,-0.025136585,-0.004391364,-2.94%
24/12/2021,0.024767525,-0.035303914,-0.023922926,-0.033891615,-3.63%
25/12/2021,0.001429825,-0.008818768,-0.001385159,0.010125535,-0.23%
26/12/2021,-0.004197871,-0.002120528,0.013008893,0.009677077,0.88%
27/12/2021,0.013585281,-0.015265615,-0.008524836,0.017578565,-2.31%
28/12/2021,0.017133848,-0.001842368,0.002880887,-0.011470303,-1.00%
29/12/2021,-0.02075794,-0.02729527,-0.02509787,-0.000395455,-3.90%
30/12/2021,0.004558977,0.008632975,-0.014163327,0.009437504,-0.29%
31/12/2021,-0.009924388,0.000701029,0.004089347,0.002721679,0.24%
01/01/2022,0.00096672,0.005658228,0.001969747,0.008864936,1.38%
02/01/2022,-0.003644789,-0.003696764,0.000739967,-0.001288052,-0.45%
03/01/2022,-0.022795488,0.028447928,-0.03215166,-0.00108729,-0.61%
04/01/2022,-0.005058182,-0.01554478,0.006824107,-0.015790821,-0.90%
05/01/2022,-0.024933126,0.035118513,-0.007349141,0.018797255,1.03%
06/01/2022,0.003114834,0.007107244,-0.01081143,-0.011033803,-0.62%
07/01/2022,-0.023548786,0.010118408,-0.008063546,0.015983597,-1.16%
08/01/2022,-0.007689183,-0.004364606,-0.022472124,-0.005002286,-2.82%
09/01/2022,-0.007075916,0.013988282,-0.014174716,0.001930237,0.41%
10/01/2022,-0.013063726,0.003977616,-0.015196408,0.013613186,-1.01%
11/01/2022,0.031180526,-0.009355283,0.030987033,-0.015674075,2.54%
12/01/2022,0.019737318,-0.007301311,0.014648129,-0.004122362,0.66%
13/01/2022,0.001049788,-0.03426214,0.035002453,-0.042264721,-0.25%
14/01/2022,-0.004388572,0.017935066,0.00492737,0.021673555,1.89%
15/01/2022,0.009211688,-0.004148381,-0.009298384,-0.00523876,-0.88%
16/01/2022,0.029012278,-0.001530894,-0.036960244,-0.008232065,-2.81%
17/01/2022,0.01668124,0.007238387,-0.022111363,0.037293452,-1.12%
18/01/2022,-0.003788284,-0.03691645,0.024177033,-0.039916946,-1.06%
19/01/2022,-0.005298684,-0.031097336,0.033457929,-0.024964979,1.03%
20/01/2022,0.00647068,-0.020017096,0.001918951,-0.002141117,-0.74%
21/01/2022,-0.005077073,-0.001079088,0.006012875,-0.001555149,3.47%
22/01/2022,0.011168292,-0.011075215,0.010888054,0.001353711,1.10%
23/01/2022,0.019634115,0.001764015,0.002337751,0.007085904,-0.22%
24/01/2022,-0.008141557,0.002723487,-0.009761662,-0.001159966,0.33%
25/01/2022,0.006894082,-0.010703995,0.027657451,-0.014973296,-0.09%
26/01/2022,0.012748395,0.006440286,-0.000955458,0.010134706,0.84%
27/01/2022,-0.004731189,0.001549334,0.003384232,0.010284796,0.09%
28/01/2022,-0.021209199,-0.018076106,-0.026508902,0.003196,-2.38%
29/01/2022,0.004494426,-0.005504321,0.009360463,-0.017230006,0.56%
30/01/2022,-0.024868587,-0.011184951,-0.012144028,0.008126415,-2.03%
31/01/2022,0.011200344,-0.034129156,0.008903887,-0.026802323,-1.47%
01/02/2022,-0.019095434,-0.009117214,0.031697444,0.005238613,1.92%
02/02/2022,0.003886183,-0.014382949,-0.017625973,0.003590617,-3.19%
03/02/2022,-0.008196641,0.015235297,0.011439646,-0.000149873,1.85%
